nome,nicho,cidade,telefone,site,rating,qtd_reviews,score_oportunidade,motivo_abordagem,status,notas,mensagem_sugerida
"Dra. Fernanda Becari | Estética Avançada","estética facial","Franca, SP","(16) 98223-1279","","5","18","70","sem_site","não contatado","","Oi! Vi o Dra. Fernanda Becari | Estética Avançada aqui em Franca — 18 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Clínica Vivense | Estética | Facial e Íntimo | Ozônio | Flacidez Off | Botox | Preenchimento Labial | Ultraformer MPT","estética facial","balneario camburiu , itajai , itapema","(47) 99103-3073","","5","15","70","sem_site","não contatado","","Oi! Vi o Clínica Vivense | Estética | Facial e Íntimo | Ozônio | Flacidez Off | Botox | Preenchimento Labial | Ultraformer MPT aqui em Franca — 15 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Thais Lima Alongamento de unha","salão de unhas","itapema","(47) 98872-2937","","4.9","21","70","sem_site","não contatado","","Oi! Vi o Thais Lima Alongamento de unha aqui em Franca — 21 avaliações, nota 4.9, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Hamger Burger","hamburgueria","itapema","(47) 99961-4785","http://www.instagram.com/hamger.burger","5","2","70","so_rede_social","não contatado","","Oi! Vi o Hamger Burger — 2 avaliações, nota 5, mas o único link que aparece no Google é o Instagram. Um site próprio (mesmo simples) ajuda a converter muito mais quem já gostou do trabalho de vocês. Posso te mandar uma ideia rápida?"
"Dra Lilyana Montanarin","estética facial","itapema","(47) 99927-2944","","5","20","70","sem_site","não contatado","","Oi! Vi o Dra Lilyana Montanarin aqui em Franca — 20 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Farah Clinic - Harmonização Facial Itapema","estética facial","itapema","(47) 98880-1110","https://www.instagram.com/farah.dra","5","10","70","so_rede_social","não contatado","","Oi! Vi o Farah Clinic - Harmonização Facial Itapema — 10 avaliações, nota 5, mas o único link que aparece no Google é o Instagram. Um site próprio (mesmo simples) ajuda a converter muito mais quem já gostou do trabalho de vocês. Posso te mandar uma ideia rápida?"
"Oh My Dog","pet shop","itapema","(47) 99254-3267","","4.8","22","70","sem_site","não contatado","","Oi! Vi o Oh My Dog aqui em Franca — 22 avaliações, nota 4.8, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Agessani & Corretores Associados","corretoras","Franca, SP","(16) 99449-9804","http://agessani.com/","5","2","60","so_rede_social","não contatado","","Oi! Vi o Agessani & Corretores Associados — 2 avaliações, nota 5, mas o único link que aparece no Google é o Instagram. Um site próprio (mesmo simples) ajuda a converter muito mais quem já gostou do trabalho de vocês. Posso te mandar uma ideia rápida?"
"Terracotta Investimentos","investimentos","Franca, SP","(16) 4042-1682","http://www.terracottainvest.com.br/","4.7","12","60","so_rede_social","não contatado","","Oi! Vi o Terracotta Investimentos — 12 avaliações, nota 4.7, mas o único link que aparece no Google é o Instagram. Um site próprio (mesmo simples) ajuda a converter muito mais quem já gostou do trabalho de vocês. Posso te mandar uma ideia rápida?"
"Grupo WLC","investimentos","Franca, SP","(16) 3402-8612","http://www.corretorawlc.com.br/","5","1","60","so_rede_social","não contatado","","Oi! Vi o Grupo WLC — 1 avaliações, nota 5, mas o único link que aparece no Google é o Instagram. Um site próprio (mesmo simples) ajuda a converter muito mais quem já gostou do trabalho de vocês. Posso te mandar uma ideia rápida?"
"MIL PAGAMENTOS A&A","investimentos","Franca, SP","(16) 99146-6401","http://milpagamentosaa.blogspot.com/","5","1","60","so_rede_social","não contatado","","Oi! Vi o MIL PAGAMENTOS A&A — 1 avaliações, nota 5, mas o único link que aparece no Google é o Instagram. Um site próprio (mesmo simples) ajuda a converter muito mais quem já gostou do trabalho de vocês. Posso te mandar uma ideia rápida?"
"kêmili Domenes Nails Designer","salão de unhas","Franca, SP","(16) 99999-0732","","4.9","38","55","sem_site","não contatado","","Oi! Vi o kêmili Domenes Nails Designer aqui em Franca — 38 avaliações, nota 4.9, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Espaço Luciana Reis","salão de unhas","Franca, SP","(16) 99141-6453","","5","31","55","sem_site","não contatado","","Oi! Vi o Espaço Luciana Reis aqui em Franca — 31 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Boareto barbershop","barbearia","Franca, SP","(16) 99166-4243","","5","46","55","sem_site","não contatado","","Oi! Vi o Boareto barbershop aqui em Franca — 46 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"The Vikings Barbearia","barbearia","Franca, SP","(16) 99126-8393","","4.9","42","55","sem_site","não contatado","","Oi! Vi o The Vikings Barbearia aqui em Franca — 42 avaliações, nota 4.9, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Visage Face - Harmonização facial em Franca SP","estética facial","Franca, SP","(16) 99989-8369","","5","30","55","sem_site","não contatado","","Oi! Vi o Visage Face - Harmonização facial em Franca SP aqui em Franca — 30 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Régis Augusto - Corretor de imóveis","corretoras","Franca, SP","(16) 99978-7749","https://www.instagram.com/regispermuta/","5","28","55","so_rede_social","não contatado","","Oi! Vi o Régis Augusto - Corretor de imóveis — 28 avaliações, nota 5, mas o único link que aparece no Google é o Instagram. Um site próprio (mesmo simples) ajuda a converter muito mais quem já gostou do trabalho de vocês. Posso te mandar uma ideia rápida?"
"Cairo Corretora de Seguros","corretoras","Franca, SP","(16) 3722-0053","","4.8","39","55","sem_site","não contatado","","Oi! Vi o Cairo Corretora de Seguros aqui em Franca — 39 avaliações, nota 4.8, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"UNHAS DA LU - Alongamento de unhas","salão de unhas","balneario camburiu , itajai , itapema","(47) 99904-8090","https://www.instagram.com/unhasda_lu_?igsh=enN6ZTNpZHQxMm5j&utm_source=qr","5","26","55","so_rede_social","não contatado","","Oi! Vi o UNHAS DA LU - Alongamento de unhas — 26 avaliações, nota 5, mas o único link que aparece no Google é o Instagram. Um site próprio (mesmo simples) ajuda a converter muito mais quem já gostou do trabalho de vocês. Posso te mandar uma ideia rápida?"
"Manicure Balneário Camboriú","salão de unhas","balneario camburiu , itajai , itapema","(47) 99685-2549","https://www.instagram.com/lorenanaillsdesign?igsh=cHc3OWRjeG0wOXJ0","5","20","55","so_rede_social","não contatado","","Oi! Vi o Manicure Balneário Camboriú — 20 avaliações, nota 5, mas o único link que aparece no Google é o Instagram. Um site próprio (mesmo simples) ajuda a converter muito mais quem já gostou do trabalho de vocês. Posso te mandar uma ideia rápida?"
"Diana unhas de fibra de vidro e esmaltação em gel","salão de unhas","balneario camburiu , itajai , itapema","(47) 99970-0760","","5","33","55","sem_site","não contatado","","Oi! Vi o Diana unhas de fibra de vidro e esmaltação em gel aqui em Franca — 33 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Unhas By Karla - Unhas de gel - Manicure e Pedicure - Franca SP","salão de unhas","Franca, SP","(16) 98801-5150","https://www.instagram.com/unhasbykarla?igshid=YzAwZjE1ZTI0Zg==","5","16","55","so_rede_social","não contatado","","Oi! Vi o Unhas By Karla - Unhas de gel - Manicure e Pedicure - Franca SP — 16 avaliações, nota 5, mas o único link que aparece no Google é o Instagram. Um site próprio (mesmo simples) ajuda a converter muito mais quem já gostou do trabalho de vocês. Posso te mandar uma ideia rápida?"
"S3 FITNESS","academia","Franca, SP","(16) 3402-8685","","4.6","39","55","sem_site","não contatado","","Oi! Vi o S3 FITNESS aqui em Franca — 39 avaliações, nota 4.6, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Clínica Essencial Estética Avançada","estética facial","Franca, SP","(16) 99407-1646","https://www.instagram.com/clinicaessencialfranca/","5","21","55","so_rede_social","não contatado","","Oi! Vi o Clínica Essencial Estética Avançada — 21 avaliações, nota 5, mas o único link que aparece no Google é o Instagram. Um site próprio (mesmo simples) ajuda a converter muito mais quem já gostou do trabalho de vocês. Posso te mandar uma ideia rápida?"
"Bulldogão Pet Shop","pet shop","Franca, SP","(16) 99191-8695","","5","43","55","sem_site","não contatado","","Oi! Vi o Bulldogão Pet Shop aqui em Franca — 43 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Agrofran PetShop","pet shop","Franca, SP","(16) 99972-8552","","4.9","48","55","sem_site","não contatado","","Oi! Vi o Agrofran PetShop aqui em Franca — 48 avaliações, nota 4.9, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
